instance	numCrates	adjNumCrates	numCratesLB	avFillRate	avWeight
0	1	1.7399096344756426	1.0	0.7399096344756426	12971.0	
1	2	2.409653482964804	2.0	0.623414975533169	11399.0	
2	2	2.5376412284465335	2.0	0.6781322045466653	9647.0	
3	2	2.3554286791177494	2.0	0.5732576475203371	11452.5	
4	2	2.555178666208942	2.0	0.6772161290601046	8540.5	
5	1	1.5784143146614467	1.0	0.5784143146614465	10062.0	
6	2	2.612891046043433	2.0	0.7058564623061797	10158.5	
7	3	3.444870235793063	3.0	0.6754366686465106	12369.333333333334	
8	2	2.7174625905948306	2.0	0.7525789997948484	10776.5	
9	1	1.711426006294214	1.0	0.7114260062942138	7071.0	
10	1	1.3139637218209046	1.0	0.31396372182090465	5465.0	
11	2	2.1776895810697368	2.0	0.4678593584799864	8917.0	
12	2	2.2876081620835107	2.0	0.5386875991834299	8316.5	
13	1	1.726786906371662	1.0	0.7267869063716621	11063.0	
14	3	3.0562088311822486	2.0	0.5942058196054876	9873.666666666666	
15	2	2.6933783204419504	2.0	0.7505222572098167	7832.0	
16	2	2.608948319284656	2.0	0.7037851311173825	11117.0	
17	1	1.7162724292949822	1.0	0.7162724292949824	10901.0	
18	1	1.827400258649909	1.0	0.8274002586499088	12689.0	
19	1	1.2762322626892553	1.0	0.27623226268925527	4034.0	
20	1	1.563458661169781	1.0	0.5634586611697809	7712.0	
21	2	2.3613739508305516	2.0	0.5941103995835654	8555.5	
22	2	2.870756905733681	2.0	0.8784778644871544	15377.0	
23	1	1.3929482675355416	1.0	0.3929482675355416	9080.0	
24	2	2.3689123755159907	2.0	0.5856765466704468	10831.5	
25	2	2.418080092824063	2.0	0.6022053208521394	11929.0	
26	2	2.057370999673311	1.0	0.4605192750304396	4535.5	
27	2	2.1919512224509705	2.0	0.49715890073492625	8696.5	
28	2	2.0391427385663214	1.0	0.457309030564389	5971.5	
29	2	2.217471826627347	2.0	0.5044185817312461	9873.5	
30	2	2.2963722572542316	2.0	0.538011899699739	11022.0	
31	1	1.180044325211934	1.0	0.18004432521193392	1527.0	
32	2	2.769058325328962	2.0	0.7789012141522075	15052.0	
33	2	2.6486118971988355	2.0	0.7191623394544655	9708.5	
34	1	1.3933510086624419	1.0	0.3933510086624419	8427.0	
35	1	1.8165453124880067	1.0	0.8165453124880065	10638.0	
36	1	1.531968664544634	1.0	0.5319686645446341	9120.0	
37	4	4.313588700180004	2.0	0.6120013632885086	11070.5	
39	2	2.4485130363467147	2.0	0.6362558964551241	11662.0	
40	1	1.4425616148712013	1.0	0.4425616148712013	10252.0	
41	1	1.5105229842484307	1.0	0.5105229842484306	10332.0	
42	2	2.752053434240462	2.0	0.7669495147529732	11633.0	
43	2	2.1923036949619297	2.0	0.48806024708425516	10016.0	
44	2	2.3964932185313854	2.0	0.5998255790633652	10028.0	
45	2	2.5680077089781044	2.0	0.6803880513937036	14926.5	
46	4	4.433350523058957	2.0	0.7155820671826044	11526.0	
48	2	2.774410053832517	2.0	0.7760343200490942	16699.0	
49	4	4.128280314748499	2.0	0.5474600990298567	12122.25	
51	3	3.5755809367651104	3.0	0.7299648759719273	8635.0	
52	2	2.251020171608901	2.0	0.5303986301244122	9427.5	
53	2	2.4864848828696835	2.0	0.6369880029290181	8559.0	
54	2	2.5651809363824585	2.0	0.6710680404507703	9217.0	
55	2	2.8012035905594583	2.0	0.8391070038895883	13200.0	
56	2	2.2864554687824037	2.0	0.5355795546628833	7927.5	
57	3	3.383874019332075	3.0	0.658570162403617	12916.333333333334	
58	3	3.424173801587199	3.0	0.6756757653468903	12469.666666666666	
59	2	2.134295716533111	1.0	0.492607415798417	8468.0	
60	1	1.4947108282493586	1.0	0.4947108282493587	10366.0	
61	1	1.6283672883370683	1.0	0.6283672883370685	10535.0	
62	2	2.5192506136039627	2.0	0.6591804694104767	10647.0	
63	3	3.018366015791725	2.0	0.5785168790373335	8939.333333333334	
64	2	2.3539502078312307	2.0	0.5729392834155272	8729.0	
65	2	2.0768468426423543	2.0	0.4226196426655322	8649.5	
66	2	2.127416386972042	1.0	0.49999486380929103	6910.5	
67	1	1.5064248962620443	1.0	0.5064248962620443	7928.0	
68	1	1.6331352904748169	1.0	0.633135290474817	10245.0	
69	1	1.5917739680681087	1.0	0.5917739680681088	12345.0	
70	2	2.05585998019822	2.0	0.3998478002059624	8627.5	
71	3	3.0827108463797703	2.0	0.5960122402751163	10639.0	
72	1	1.3650779073578334	1.0	0.36507790735783346	9061.0	
73	1	1.4987416788301	1.0	0.4987416788301001	8802.0	
74	2	2.7053491752131853	2.0	0.7393890684505716	16196.5	
75	3	3.322370880208476	3.0	0.6349291231116366	11690.333333333334	
76	1	1.2881928906328706	1.0	0.2881928906328705	5792.0	
77	1	1.8006800863144252	1.0	0.8006800863144251	13956.0	
78	2	2.548684767331586	2.0	0.6920844103674704	10915.0	
79	2	2.1175630093868385	1.0	0.4852737212690204	6269.5	
80	2	2.100891822644579	2.0	0.41170602321198324	9815.5	
81	2	2.0203443261252874	1.0	0.43661934970905814	6264.0	
82	3	3.445488036399671	3.0	0.67660379490924	11952.333333333334	
83	2	2.8300952441083393	2.0	0.8374477865216015	12299.5	
84	3	3.022797671462958	2.0	0.5700100033862415	9830.0	
85	2	2.8339115590780484	2.0	0.8580108164304258	13471.0	
86	2	2.7041876900290913	2.0	0.7538632296872825	14743.5	
87	1	1.802556720571159	1.0	0.802556720571159	10786.0	
88	1	1.1098752593520067	1.0	0.10987525935200679	2443.0	
89	2	2.040190293701962	1.0	0.4505766120014259	5948.0	
90	3	3.046394903185994	2.0	0.5860142217894004	10612.0	
91	3	3.1232932216199325	2.0	0.6267733078037703	9333.0	
92	5	5.1820007241687245	2.0	0.6322088355554134	8980.0	
94	2	2.0206505387545177	1.0	0.44064247892106195	4347.5	
95	3	3.0295467854928373	2.0	0.565325000268198	9266.333333333334	
96	2	2.4383813706103705	2.0	0.6079350661588055	8296.5	
