instance	numCrates	adjNumCrates	numCratesLB	avFillRate	avWeight	runTime
0	1	1.7399096344756426	1.0	0.7399096344756426	12971.0	344
1	2	2.409691588716716	2.0	0.623414975533169	11399.0	312
2	2	2.552147129291905	2.0	0.6781322045466653	9647.0	236
3	2	2.3746341602964804	2.0	0.5732576475203371	11452.5	150
4	2	2.536333993886179	2.0	0.6772161290601046	8540.5	117
5	1	1.5784143146614467	1.0	0.5784143146614465	10062.0	64
6	2	2.6184389747543815	2.0	0.7058564623061797	10158.5	90
7	3	3.4396076788488226	3.0	0.6754366686465106	12369.333333333334	825
8	2	2.725097566554839	2.0	0.7525789997948484	10776.5	559
9	1	1.711426006294214	1.0	0.7114260062942138	7071.0	23
10	1	1.3139637218209046	1.0	0.31396372182090465	5465.0	14
11	2	2.173194446181183	2.0	0.4678593584799864	8917.0	263
12	2	2.272854813008151	2.0	0.5386875991834299	8316.5	348
13	1	1.726786906371662	1.0	0.7267869063716621	11063.0	117
14	3	3.049402273813265	2.0	0.5942058196054876	9873.666666666666	18480
15	2	2.6978788534555505	2.0	0.7505222572098167	7832.0	383
16	2	2.623915452333383	2.0	0.7037851311173825	11117.0	325
17	1	1.7162724292949822	1.0	0.7162724292949824	10901.0	27
18	1	1.827400258649909	1.0	0.8274002586499088	12689.0	260
19	1	1.2762322626892553	1.0	0.27623226268925527	4034.0	4
20	1	1.563458661169781	1.0	0.5634586611697809	7712.0	58
21	2	2.3759571336939964	2.0	0.5941103995835654	8555.5	98
22	2	2.866287485964021	2.0	0.8784778644871544	15377.0	23035
23	1	1.3929482675355416	1.0	0.3929482675355416	9080.0	13
24	2	2.378818846052603	2.0	0.5856765466704468	10831.5	108
25	2	2.421197134219687	2.0	0.6022053208521394	11929.0	290
26	2	2.068358302394902	1.0	0.4605192750304396	4535.5	635
27	2	2.2149779384095796	2.0	0.49715890073492625	8696.5	485
28	2	2.0381257500290464	1.0	0.457309030564389	5971.5	4585
29	2	2.197333062014913	2.0	0.5044185817312461	9873.5	47
30	2	2.2782201848741668	2.0	0.538011899699739	11022.0	368
31	1	1.180044325211934	1.0	0.18004432521193392	1527.0	0
32	2	2.727271462119523	2.0	0.7789012141522075	15052.0	1100
33	2	2.642439471472993	2.0	0.7191623394544655	9708.5	402
34	1	1.3933510086624419	1.0	0.3933510086624419	8427.0	18
35	1	1.8165453124880067	1.0	0.8165453124880065	10638.0	1045
36	1	1.531968664544634	1.0	0.5319686645446341	9120.0	32
37	3	3.7447724568436414	3.0	0.8160018177180115	14760.666666666666	12172
38	2	2.4716373740941426	2.0	0.6362558964551241	11662.0	111
39	1	1.4425616148712013	1.0	0.4425616148712013	10252.0	10
40	1	1.5105229842484307	1.0	0.5105229842484306	10332.0	72
41	2	2.752448385667928	2.0	0.7669495147529732	11633.0	2571
42	2	2.1925871534691277	2.0	0.48806024708425516	10016.0	79
43	2	2.3859952091526324	2.0	0.5998255790633652	10028.0	334
44	2	2.5826679688675322	2.0	0.6803880513937036	14926.5	404
45	4	4.395932997925275	3.0	0.7155820671826044	11526.0	40964
46	2	2.7509692310744414	2.0	0.7760343200490942	16699.0	218
47	3	3.58389373046041	3.0	0.7299467987064756	16163.0	1980
48	3	3.5756643913227943	3.0	0.7299648759719273	8635.0	949
49	2	2.270738520220864	2.0	0.5303986301244122	9427.5	154
50	2	2.472516767384975	2.0	0.6369880029290181	8559.0	451
51	2	2.5552380683613545	2.0	0.6710680404507703	9217.0	76
52	2	2.82234096275173	2.0	0.8391070038895883	13200.0	7829
53	2	2.28667567584127	2.0	0.5355795546628833	7927.5	120
54	3	3.33706020342094	3.0	0.658570162403617	12916.333333333334	743
55	3	3.403822710722929	3.0	0.6756757653468903	12469.666666666666	353
56	2	2.132844691409804	1.0	0.492607415798417	8468.0	3652
57	1	1.4947108282493586	1.0	0.4947108282493587	10366.0	48
58	1	1.6283672883370683	1.0	0.6283672883370685	10535.0	42
59	2	2.5042229395578772	2.0	0.6591804694104767	10647.0	146
60	3	3.0128789697316196	2.0	0.5785168790373335	8939.333333333334	12054
61	2	2.351974653502439	2.0	0.5729392834155272	8729.0	183
62	2	2.0764760119508567	2.0	0.4226196426655322	8649.5	382
63	2	2.142370878841862	1.0	0.49999486380929103	6910.5	453
64	1	1.5064248962620443	1.0	0.5064248962620443	7928.0	13
65	1	1.6331352904748169	1.0	0.633135290474817	10245.0	47
66	1	1.5917739680681087	1.0	0.5917739680681088	12345.0	62
67	2	2.035233493848973	2.0	0.3998478002059624	8627.5	46
68	3	3.039743524829428	2.0	0.5960122402751163	10639.0	2222
69	1	1.3650779073578334	1.0	0.36507790735783346	9061.0	31
70	1	1.4987416788301	1.0	0.4987416788301001	8802.0	59
71	2	2.7197939200849266	2.0	0.7393890684505716	16196.5	479
72	3	3.327754929131615	3.0	0.6349291231116366	11690.333333333334	285
73	1	1.2881928906328706	1.0	0.2881928906328705	5792.0	8
74	1	1.8006800863144252	1.0	0.8006800863144251	13956.0	1996
75	2	2.5300873154698214	2.0	0.6920844103674704	10915.0	210
76	2	2.109277821293043	1.0	0.4852737212690204	6269.5	2627
77	2	2.100891822644579	2.0	0.41170602321198324	9815.5	56
78	2	2.0203443261252874	1.0	0.43661934970905814	6264.0	2344
79	3	3.4196174423943186	3.0	0.67660379490924	11952.333333333334	628
80	2	2.8353459115113377	2.0	0.8374477865216015	12299.5	696
81	2	2.8403417965228925	2.0	0.8550150050793623	14745.0	4303
82	3	3.010587385930158	2.0	0.5720072109536172	8980.666666666666	37381
83	2	2.711000624929776	2.0	0.7538632296872825	14743.5	375
84	1	1.802556720571159	1.0	0.802556720571159	10786.0	506
85	1	1.1098752593520067	1.0	0.10987525935200679	2443.0	0
86	2	2.0295467854928373	1.0	0.4505766120014259	5948.0	1221
87	3	3.0246140835989177	2.0	0.5860142217894004	10612.0	18551
88	3	3.105903013732215	2.0	0.6267733078037703	9333.0	19081
89	4	4.72027628925049	4.0	0.7902610444442668	11225.0	629
90	2	2.0111707023117846	1.0	0.44064247892106195	4347.5	5370
91	3	3.0622067858622786	2.0	0.565325000268198	9266.333333333334	4173
92	2	2.4211111514262225	2.0	0.6079350661588055	8296.5	280
93	2	2.579847869903273	2.0	0.6851449725701223	8937.0	251
94	2	2.093956325250746	1.0	0.4636831685071654	5114.0	544
95	1	1.7827855978843723	1.0	0.7827855978843723	11078.0	84
96	2	2.489952734062645	2.0	0.6640659434044627	13328.0	102
97	1	1.2481143631739635	1.0	0.2481143631739636	4624.0	6
