instance min_num_crates_GA min_num_crates_LB running_time
308 1 1.0 789
309 1 1.0 1334
310 2 2.0 31
311 2 2.0 16
312 2 2.0 7
313 1 1.0 636
314 2 2.0 25
315 2 2.0 23
316 4 4.0 16853
317 3 3.0 3435
318 2 2.0 14
319 1 1.0 416
320 1 1.0 245
321 2 2.0 10
322 1 1.0 1333
323 1 1.0 1061
324 1 1.0 470
325 3 3.0 18783
326 2 2.0 41
327 2 2.0 18
328 3 3.0 15564
329 5 5.0 74083
330 2 2.0 22
331 1 1.0 1199
332 1 1.0 244
333 2 2.0 30
334 1 1.0 2228
335 2 2.0 24
336 2 3.0 62
337 1 1.0 835
338 2 2.0 17
339 2 2.0 22
340 1 1.0 2219
341 1 1.0 465
342 2 2.0 8
343 2 2.0 8
344 2 2.0 22
345 2 2.0 45
346 1 1.0 1334
347 2 2.0 24
348 1 1.0 1207
349 3 3.0 17204
350 2 2.0 37
351 2 2.0 15
352 2 2.0 11
353 2 2.0 8
354 1 1.0 1320
355 3 3.0 20073
356 2 2.0 10
357 1 1.0 2390
358 4 4.0 32835
359 2 2.0 24
360 2 2.0 17
361 2 2.0 11
362 1 1.0 795
363 1 1.0 1496
364 2 2.0 30
365 2 2.0 20
366 3 3.0 6281
367 1 1.0 925
368 2 2.0 15
369 2 2.0 65
370 2 2.0 12
371 2 2.0 25
372 1 1.0 576
373 3 3.0 20997
374 2 2.0 18
375 2 2.0 6
376 1 1.0 687
377 2 2.0 15
378 2 2.0 16
379 1 1.0 468
380 4 4.0 54750
381 3 3.0 14950
382 1 1.0 2629
383 1 1.0 703
384 2 3.0 49
385 1 1.0 2945
386 2 2.0 32
387 2 2.0 18
388 1 1.0 1476
389 2 2.0 51
390 3 3.0 27088
391 1 1.0 1144
392 2 2.0 19
393 2 2.0 9
394 2 2.0 65
395 1 1.0 2504
396 3 3.0 10953
397 3 3.0 11676
398 1 1.0 1676
399 2 2.0 43
400 1 1.0 2397
401 3 3.0 13815
402 2 2.0 14
403 2 2.0 37
404 1 1.0 1179
405 2 2.0 7
406 2 2.0 17
407 5 5.0 69904
408 2 2.0 13
409 1 1.0 688
410 2 2.0 16
411 2 2.0 9
412 2 2.0 15
413 2 2.0 16
414 2 2.0 13
415 1 1.0 1323
416 1 1.0 797
417 2 2.0 23
418 2 2.0 18
419 1 1.0 1073
420 2 2.0 31
421 1 1.0 244
422 2 2.0 30
423 1 1.0 4200
424 2 2.0 39
425 1 1.0 1675
426 2 2.0 21
427 2 2.0 38
428 3 3.0 25633
429 2 2.0 13
430 1 1.0 325
431 2 2.0 19
432 2 2.0 22
433 3 3.0 13747
434 3 3.0 14591
435 1 1.0 3356
436 1 1.0 3859
437 2 2.0 14
438 2 2.0 32
439 3 3.0 3465
440 2 2.0 28
441 1 1.0 831
442 1 1.0 3088
443 2 3.0 130
444 2 2.0 20
445 2 2.0 40
446 1 1.0 3720
447 2 2.0 43
448 2 2.0 45
449 2 2.0 45
450 1 1.0 1639
451 2 2.0 7
452 2 2.0 26
453 2 2.0 30
454 2 2.0 47
455 1 1.0 235
456 1 1.0 366
457 2 2.0 21
458 3 3.0 11583
459 4 4.0 50960
460 2 2.0 27
461 2 2.0 10
462 1 1.0 467
463 2 2.0 21
464 2 3.0 49
465 1 1.0 2229
466 2 3.0 32
467 3 3.0 12023
468 1 1.0 241
469 2 3.0 36
470 1 1.0 1193
471 2 2.0 10
472 1 1.0 716
473 2 2.0 15
474 2 2.0 16
475 2 2.0 35
476 1 1.0 791
477 1 1.0 390
478 2 2.0 48
479 2 2.0 20
480 1 1.0 1055
481 3 3.0 11501
482 1 1.0 684
483 1 1.0 2050
484 1 1.0 1061
485 1 1.0 1262
486 1 1.0 98
487 2 2.0 58
488 2 3.0 96
489 2 2.0 41
490 1 1.0 787
491 2 2.0 11
492 1 1.0 1523
493 2 2.0 18
494 2 2.0 18
495 1 1.0 1821
496 2 2.0 6
497 2 2.0 43
498 1 1.0 926
499 2 2.0 9
500 2 2.0 12
501 1 1.0 1057
502 2 2.0 18
503 2 2.0 16
504 3 4.0 34516
505 1 1.0 1219
506 4 4.0 24187
507 2 2.0 23
508 1 1.0 1189
509 1 1.0 2930
510 2 2.0 22
511 2 2.0 29
512 1 1.0 242
513 2 2.0 19
514 2 2.0 12
515 2 2.0 58
516 1 1.0 1194
517 2 2.0 34
518 2 2.0 17
519 1 1.0 1497
520 2 2.0 23
521 2 2.0 20
522 2 2.0 24
523 2 2.0 25
524 2 2.0 22
525 3 3.0 7855
526 2 2.0 22
527 3 3.0 11224
528 2 2.0 24
529 1 1.0 1685
530 2 2.0 14
531 2 2.0 21
532 2 2.0 34
533 1 1.0 590
534 1 1.0 1507
535 2 2.0 36
536 1 1.0 1008
537 1 1.0 694
538 2 2.0 20
539 3 4.0 21758
540 2 2.0 14
541 2 2.0 58
542 3 3.0 7593
543 1 1.0 1069
544 2 2.0 36
545 2 2.0 13
546 2 2.0 35
547 2 2.0 28
548 2 2.0 9
549 1 1.0 561
550 3 3.0 18678
551 1 1.0 702
552 3 3.0 17952
553 2 2.0 43
554 2 2.0 27
555 3 3.0 24466
556 3 3.0 19984
557 2 2.0 35
558 1 1.0 1513
559 2 2.0 34
560 1 1.0 92
561 2 2.0 15
562 1 1.0 2058
563 2 2.0 20
564 2 2.0 20
565 1 1.0 2984
566 2 2.0 37
567 3 3.0 15167
568 1 1.0 462
569 1 1.0 1059
570 1 1.0 182
571 2 2.0 51
572 2 2.0 15
573 2 3.0 62
574 1 1.0 937
575 2 2.0 1
576 2 2.0 37
577 2 2.0 59
578 1 1.0 1328
579 1 1.0 1999
580 1 1.0 704
581 3 3.0 14744
582 1 1.0 1358
583 2 2.0 13
584 1 1.0 468
585 2 2.0 50
586 1 1.0 694
587 1 1.0 2061
588 2 2.0 22
589 2 2.0 27
590 4 4.0 16575
591 1 1.0 1864
592 2 2.0 27
593 1 1.0 694
594 1 1.0 1885
595 1 1.0 472
596 2 2.0 13
597 1 1.0 1819
598 4 4.0 18565
599 1 1.0 190
600 2 2.0 9
601 2 2.0 12
602 2 3.0 85
603 2 2.0 44
604 1 1.0 494
605 2 2.0 25
606 2 2.0 16
607 2 3.0 115
608 1 1.0 1518
609 1 1.0 1662
610 1 1.0 795
611 1 1.0 586
612 2 2.0 45
613 2 2.0 12
614 2 2.0 22
615 2 2.0 22
616 2 2.0 20
617 1 1.0 137
618 2 3.0 38
619 2 2.0 6
620 1 1.0 574
621 1 1.0 2954
622 1 1.0 383
623 2 2.0 31
624 1 1.0 915
625 1 1.0 907
626 3 3.0 8988
627 1 1.0 1364
628 1 1.0 686
629 3 3.0 10999
630 1 1.0 15
631 2 2.0 47
632 1 1.0 686
633 1 1.0 560
634 2 2.0 6
635 1 1.0 794
636 2 2.0 22
637 1 1.0 183
638 1 1.0 93
639 2 2.0 35
640 2 2.0 6
641 1 1.0 1334
642 1 1.0 802
643 1 1.0 311
644 2 2.0 28
645 2 2.0 15
646 2 2.0 36
647 2 2.0 14
648 2 2.0 32
649 1 1.0 2444
650 1 1.0 457
651 2 2.0 15
652 3 3.0 15153
653 1 1.0 241
654 2 2.0 34
655 3 3.0 8826
656 2 2.0 14
657 1 1.0 2026
658 3 3.0 17574
659 1 1.0 307
660 1 1.0 2228
661 2 2.0 10
662 2 2.0 23
663 2 2.0 13
664 2 3.0 60
665 1 1.0 383
666 1 1.0 377
667 2 2.0 18
668 1 1.0 309
669 2 2.0 7
670 2 2.0 20
671 1 1.0 2769
672 1 1.0 1369
673 4 4.0 43397
674 2 2.0 15
675 2 2.0 12
676 1 1.0 3153
677 1 1.0 471
678 2 2.0 27
679 2 2.0 45
680 2 2.0 24
681 2 2.0 32
682 2 2.0 24
683 1 1.0 935
684 2 2.0 11
685 1 1.0 1031
686 2 2.0 8
687 2 2.0 12
688 1 1.0 1813
689 1 1.0 465
690 1 1.0 1829
691 2 2.0 21
692 1 1.0 1643
693 1 1.0 682
694 3 3.0 12210
695 1 1.0 383
696 2 2.0 41
697 1 1.0 469
698 1 1.0 475
699 2 2.0 27
700 2 2.0 37
701 2 2.0 16
702 2 2.0 16
703 1 1.0 2704
704 2 2.0 8
705 1 1.0 556
706 1 1.0 1483
707 2 2.0 22
708 2 2.0 30
709 3 3.0 8904
710 2 2.0 25
711 3 3.0 19538
712 2 2.0 19
713 1 1.0 1494
714 2 2.0 16
715 2 2.0 5
716 2 2.0 23
717 1 1.0 932
718 1 1.0 466
719 3 3.0 8039
720 2 2.0 10
721 2 2.0 27
722 2 2.0 18
723 2 2.0 37
724 2 2.0 42
725 3 3.0 21774
726 3 3.0 7635
727 2 2.0 18
728 2 2.0 19
729 1 1.0 182
730 2 2.0 64
731 2 2.0 39
732 1 1.0 1177
733 1 1.0 800
734 2 2.0 26
735 2 2.0 8
736 1 1.0 1480
737 1 1.0 59
738 2 2.0 49
739 1 1.0 2901
740 2 2.0 11
741 1 1.0 693
742 2 2.0 20
743 1 1.0 183
744 2 2.0 30
745 2 2.0 5
746 2 2.0 10
747 1 1.0 1519
748 1 1.0 1670
749 2 2.0 25
750 2 2.0 30
751 2 2.0 17
752 1 1.0 379
753 1 1.0 308
754 1 1.0 690
755 2 2.0 19
756 2 2.0 23
757 1 1.0 1181
758 2 2.0 23
759 2 2.0 13
760 2 2.0 11
761 1 1.0 1201
762 2 2.0 29
763 1 1.0 552
764 2 2.0 12
765 1 1.0 1191
766 2 2.0 23
767 2 2.0 12
768 2 2.0 23
769 1 1.0 243
770 1 1.0 1649
771 2 2.0 17
772 1 1.0 59
773 1 1.0 1334
774 1 1.0 907
775 2 2.0 3
776 2 2.0 6
777 1 1.0 1376
778 1 1.0 57
779 2 2.0 29
780 1 1.0 800
781 1 1.0 1670
782 2 2.0 23
783 1 1.0 2452
784 2 2.0 40
785 2 2.0 37
786 1 1.0 379
787 2 2.0 46
788 1 1.0 239
789 1 1.0 134
790 3 3.0 12082
791 3 3.0 8863
792 2 2.0 18
793 2 2.0 17
794 2 2.0 25
795 2 2.0 9
796 2 2.0 3
797 1 1.0 133
798 2 2.0 7
799 2 2.0 36
800 2 2.0 19
801 3 3.0 7719
802 2 2.0 60
803 1 1.0 469
804 2 3.0 44
805 1 1.0 1051
806 2 2.0 17
807 1 1.0 2412
808 1 1.0 1673
809 1 1.0 1363
810 1 1.0 1484
811 1 1.0 1495
812 1 1.0 808
813 2 2.0 13
814 1 1.0 556
815 1 1.0 2458
816 3 3.0 12416
817 1 1.0 1585
818 2 2.0 29
819 2 2.0 39
820 2 2.0 36
821 1 1.0 1109
822 2 2.0 4
823 1 1.0 941
824 2 2.0 19
825 2 2.0 26
826 2 2.0 21
827 2 2.0 4
828 2 2.0 30
829 2 2.0 13
830 2 2.0 30
831 2 2.0 28
832 1 1.0 1991
833 3 3.0 12240
834 2 2.0 17
835 2 2.0 21
836 2 2.0 21
837 2 2.0 45
838 2 2.0 21
839 1 1.0 710
840 1 1.0 386
841 1 1.0 2048
842 2 2.0 7
843 1 1.0 1218
844 1 1.0 314
845 2 2.0 14
846 2 2.0 8
847 1 1.0 2027
848 1 1.0 306
849 2 2.0 39
850 1 1.0 386
851 2 2.0 45
852 2 2.0 44
853 2 2.0 18
854 2 2.0 15
855 2 2.0 11
856 2 2.0 18
857 2 2.0 33
858 3 3.0 10268
859 1 1.0 2256
860 2 2.0 47
861 1 1.0 4423
862 1 1.0 1644
863 1 1.0 2678
864 1 1.0 811
865 1 1.0 369
866 1 1.0 565
867 3 3.0 11906
868 1 1.0 1515
869 2 2.0 27
870 2 2.0 13
871 1 1.0 797
872 2 2.0 6
873 1 1.0 2051
874 2 2.0 12
875 2 2.0 15
876 1 1.0 695
877 1 1.0 1675
878 1 1.0 1216
879 2 2.0 11
880 2 2.0 8
881 2 2.0 19
882 2 2.0 35
883 2 2.0 21
884 1 1.0 382
885 1 1.0 475
886 2 2.0 23
887 1 1.0 1368
888 2 2.0 35
889 2 2.0 29
890 2 3.0 75
891 3 3.0 10948
892 1 1.0 1480
893 2 2.0 17
894 1 1.0 682
895 1 1.0 1501
896 3 3.0 18971
897 2 2.0 24
898 1 1.0 1648
899 2 2.0 18
900 3 3.0 15033
901 1 1.0 1307
902 1 1.0 1630
903 3 3.0 6522
904 2 2.0 35
905 2 2.0 21
906 3 3.0 7332
907 2 2.0 29
908 2 2.0 24
909 2 2.0 15
910 1 1.0 3476
911 1 1.0 1834
912 1 1.0 1492
913 1 1.0 1478
914 2 2.0 4
915 1 1.0 958
916 3 3.0 14597
917 2 2.0 12
918 2 2.0 6
919 1 1.0 689
920 1 1.0 386
921 2 2.0 44
922 1 1.0 479
923 2 2.0 34
924 2 2.0 45
925 3 3.0 9748
926 1 1.0 243
927 1 1.0 1508
928 2 2.0 32
929 1 1.0 552
930 1 1.0 1672
931 1 1.0 691
932 3 3.0 7998
933 2 2.0 32
934 2 2.0 38
935 1 1.0 814
936 1 1.0 2075
937 1 1.0 1892
938 2 2.0 22
939 1 1.0 1044
940 2 2.0 12
941 2 2.0 7
942 2 2.0 31
943 1 1.0 2005
944 2 2.0 17
945 1 1.0 1330
946 2 2.0 34
947 2 2.0 12
948 2 2.0 38
949 1 1.0 1670
950 2 3.0 80
951 4 4.0 29027
952 1 1.0 2056
953 2 2.0 7
954 1 1.0 1623
